Title,Price,Location,Plot_Area,facing,open_sides,Width_road
"Residential Land/Plot for Sale in Patancheru, Hyderabad",8500000,Patancheru,150,South-West,2,150
"Residential Land/Plot for Sale in CK Golden Doors, Patancheru, Hyderabad",8500000,"CK Golden Doors
Patancheru",200,East,2,30
"Residential Land/Plot for Sale in Patighanpur, Patancheru",12000000,"Patighanpur, Patancheru",300,West,1,100
"Residential Land/Plot for Sale
in Patancheru, Hyderabad",100000000,Patancheru,2000,North-East,1,50
"Residential Land/Plot for Sale
in Patancheru, Hyderabad",3000000,Patancheru,150,East,2,60
"Residential Land/Plot for Sale
in Isnapur, Patancheru",160000000,"Isnapur, Patancheru",4000,East,2,60
"Residential Land/Plot for Sale
in sai Garden , Patancheru, Hyderabad",5800000,"sai Garden
Patancheru",200,West,2,30
"Residential Land/Plot for Sale
in Patancheru, Hyderabad",2400000,Patancheru,200,East,2,60
"Residential Land/Plot for Sale
in Isnapur, Patancheru",5200000,"Isnapur, Patancheru",200,East,2,100
"Residential Land/Plot for Sale
in Patancheru, Hyderabad",2500000,Patancheru,150,North-East,1,60
"Residential Land/Plot for Sale
in Muthangi, Patancheru",20000000,"Muthangi, Patancheru",500,East,2,60
"Residential Land/Plot for Sale
in Isnapur, Patancheru",8000000,"Isnapur, Patancheru",160,West,2,30
"Residential Land/Plot for Sale
in SRR Gachibowli Paradise County Phase 5, Patancheru, Hyderabad",2600000,"SRR Gachibowli Paradise County Phase 5
Patancheru",200,North,2,31
"Residential Land/Plot for Sale
in Pragna Oak Meadows, Kistareddypet, Patancheru",10000000,"Pragna Oak Meadows
Kistareddypet, Patancheru",325,East,1,30
"Residential Land/Plot for Sale
in abhinandan avenue, Chitkul, Isnapur, Patancheru",4000000,"abhinandan avenue, Chitkul
Isnapur, Patancheru",150,East,2,30
"Residential Land/Plot for Sale
in Kistareddypet, Patancheru",35000000,"Kistareddypet, Patancheru",538,North-West,2,25
"Residential Land/Plot for Sale
in Sandstone Excella Greens, Patancheru, Hyderabad",5250000,"Sandstone Excella Greens
Patancheru",150,East,2,30
"Residential Land/Plot for Sale
in Silicon City Phase 2, Patighanpur, Patancheru",12500000,"Silicon City Phase 2
Patighanpur, Patancheru",223,North-East,2,50
"Residential Land/Plot for Sale
in happy homes, Patancheru, Hyderabad",5550000,"happy homes
Patancheru",200,East,2,60
"Residential Land/Plot for Sale
in Navya Sarovar, Patancheru, Hyderabad",5800000,"Navya Sarovar
Patancheru",180,West,2,30
"Residential Land/Plot for Sale
in Nandan Ratan Pride, Sreeram Nagar Colony, Patancheru",10500000,"Nandan Ratan Pride
Sreeram Nagar Colony, Patancheru",150,West,2,30
"Residential Land/Plot for Sale
in HMDA,RERA,Final approved lay out , Patighanpur, Patancheru",6156000,"HMDA,RERA,Final approved lay out
Patighanpur, Patancheru",162,West,,30
"Residential Land/Plot for Sale
in Aparna Avani, Isnapur, Patancheru",12000000,"Aparna Avani
Isnapur, Patancheru",267,South,2,60
"Residential Land/Plot for Sale
in Celebrity Green Nest, Patancheru, Hyderabad",4400000,"Celebrity Green Nest
Patancheru",200,East,1,30
"Residential Land/Plot for Sale
in Patancheru, Hyderabad",9300000,Patancheru,168.67,West,1,33
"Residential Land/Plot for Sale
in Isnapur, Patancheru",8400000,"Isnapur, Patancheru",200,South-West,2,60
"Residential Land/Plot for Sale
in Isnapur, Patancheru",6750000,"Isnapur, Patancheru",150,West,1,50
"Residential Land/Plot for Sale
in Aparna Avani, Isnapur, Patancheru",15700000,"Aparna Avani
Isnapur, Patancheru",350,West,1,60
"Residential Land/Plot for Sale
in Muthangi, Patancheru",6400000,"Muthangi, Patancheru",200,East,1,30
"Residential Land/Plot for Sale
in Aparna Avani, Isnapur, Patancheru",6929000,"Aparna Avani
Isnapur, Patancheru",220,East,3,100
"Residential Land/Plot for Sale
in Arrjava Farms, Patancheru, Hyderabad",1400000,"Arrjava Farms
Patancheru",121,East,2,40
"Residential Land/Plot for Sale
in Navya The Royal, Patancheru, Hyderabad",7800000,"Navya The Royal
Patancheru",200,East,1,30
"Residential Land/Plot for Sale
in Patighanpur, Patancheru",7900000,"Patighanpur, Patancheru",200,East,1,100
"Residential Land/Plot for Sale
in Pati, Patancheru",5700000,"Pati, Patancheru",150,East,2,100
"Residential Land/Plot for Sale
in Muthangi, Patancheru",5700000,"Muthangi, Patancheru",150,East,1,100
"Residential Land/Plot for Sale
in Patancheru, Hyderabad",5700000,Patancheru,150,East,2,100
"Residential Land/Plot for Sale
in Patancheru, Hyderabad",2667000,Patancheru,242,East,1,100
"Residential Land/Plot for Sale
in HMDA gatedcommunity villa plots, Patancheru, Hyderabad",7960000,"HMDA gatedcommunity villa plots
Patancheru",22.11,East,2,30
"Residential Land/Plot for Sale
in Isnapur, Patancheru",4050000,"Isnapur, Patancheru",150,East,2,100
"Residential Land/Plot for Sale
in Isnapur, Patancheru",4050000,"Isnapur, Patancheru",150,East,1,100
"Residential Land/Plot for Sale
in Patancheru, Hyderabad",400000000,Patancheru,8000,East,1,60
"Residential Land/Plot for Sale
in Anmol Alpine Vistas, Patancheru, Hyderabad",57600000,"Anmol Alpine Vistas
Patancheru",1200,North-East,1,30
"Residential Land/Plot for Sale
in HMDA gatedcommunity plots, Kistareddypet, Patancheru",5600000,"HMDA gatedcommunity plots
Kistareddypet, Patancheru",200,East,2,40
"Residential Land/Plot for Sale
in Grater Global City 6, Isnapur, Patancheru",3875000,"Grater Global City 6
Isnapur, Patancheru",155,East,1,100
"Residential Land/Plot for Sale
in Muthangi, Patancheru",10000000,"Muthangi, Patancheru",240,South-West,2,60
"Residential Land/Plot for Sale
in prime avenue league , Muthangi, Patancheru",6000000,"prime avenue league
Muthangi, Patancheru",150,East,2,100
"Residential Land/Plot for Sale
in Patancheru, Hyderabad",3993000,Patancheru,363,East,1,33
"Residential Land/Plot for Sale
in Patighanpur, Patancheru",12600000,"Patighanpur, Patancheru",300,West,2,40
"Residential Land/Plot for Sale
in BDL layout, Patancheru, Hyderabad",11000000,"BDL layout
Patancheru",290,West,1,40
"Residential Land/Plot for Sale
in Sandstone Eternity, Patancheru, Hyderabad",5010000,"Sandstone Eternity
Patancheru",167,East,2,30
"Residential Land/Plot for Sale
in Lalitha Gardenia, Patancheru, Hyderabad",4542000,"Lalitha Gardenia
Patancheru",395,East,2,60
"Residential Land/Plot for Sale
in Patancheru, Hyderabad",3660000,Patancheru,305,East,1,60
"Residential Land/Plot for Sale
in Patancheru, Hyderabad",5805000,Patancheru,222,East,2,60
"Residential Land/Plot for Sale
in Patighanpur, Patancheru",18000000,"Patighanpur, Patancheru",400,West,2,40
"Residential Land/Plot for Sale
in Green ville, Patighanpur, Patancheru",12000000,"Green ville
Patighanpur, Patancheru",300,West,2,30
"Residential Land/Plot for Sale
in Navya Sarovar, Patancheru, Hyderabad",6588000,"Navya Sarovar
Patancheru",183,East,1,100
"Residential Land/Plot for Sale
in Pati, Patancheru",5700000,"Pati, Patancheru",150,East,1,100
"Residential Land/Plot for Sale
in Patancheru, Hyderabad",1444000,Patancheru,121,North,2,100
"Residential Land/Plot for Sale
in Patancheru, Hyderabad",5280000,Patancheru,480,East,2,60
"Residential Land/Plot for Sale
in Patancheru, Hyderabad",4427000,Patancheru,385,East,1,50
